ID,Description,ObjCount,ObjAttr,OORel,OARel,Difficulty,Category,SceneEvalID,is_house
120,"A computer lab with six desks, each with a monitor, keyboard, and chair. A printer sits in the corner.","eq,6,desk; eq,6,monitor; eq,6,keyboard; eq,6,chair; eq,1,printer",,"eq,6,on,0,desk,monitor; eq,6,on,0,desk,keyboard; ge,6,near,0,desk,chair","eq,1,corner,printer,room",medium,type_diversity,,FALSE
121,"An art studio with easels, stools, and a supply cabinet in the corner.","ge,2,easel; ge,2,stool; eq,1,cabinet",,,"eq,1,corner,cabinet,room",easy,type_diversity,,FALSE
122,"A music room with a piano, a drum set, and music stands with chairs.","eq,1,piano; eq,1,drum_set; ge,2,music_stand; ge,2,chair",,"ge,2,near,0,music_stand,chair","eq,1,against,piano,wall",easy,type_diversity,,FALSE
123,"A medical exam room with an exam table, a doctor's stool, and a cabinet with medical supplies and a blood pressure monitor.","eq,1,medical_exam_table; eq,1,stool; eq,1,cabinet; ge,2,medical_supply; eq,1,blood_pressure_monitor",,"ge,2,on,0,cabinet,medical_supply; eq,1,on,0,cabinet,blood_pressure_monitor","eq,1,against,cabinet,wall",medium,type_diversity,,FALSE
124,"A hospital room with a hospital bed, an IV stand, a bedside table, and a visitor chair.","eq,1,hospital_bed; eq,1,iv_stand; eq,1,bedside_table; eq,1,chair",,"eq,1,near,0,hospital_bed,bedside_table; eq,1,near,0,hospital_bed,iv_stand",,easy,type_diversity,,FALSE
125,"A dental office with a dental chair, a dentist's stool, a dental light overhead, and a cabinet with dental tools.","eq,1,dental_chair; eq,1,stool; eq,1,dental_light; eq,1,cabinet; ge,2,dental_tool",,"eq,1,above,0,dental_chair,dental_light; ge,2,on,0,cabinet,dental_tool",,medium,type_diversity,,FALSE
126,"A waiting room with chairs along the walls, a coffee table with magazines, and a water dispenser in the corner.","ge,2,chair; eq,1,coffee_table; ge,2,magazine; eq,1,water_dispenser",,"ge,2,on,0,coffee_table,magazine","ge,2,against,chair,wall; eq,1,corner,water_dispenser,room",easy,type_diversity,,FALSE
127,"A physical therapy room with a treatment table, exercise mats on the floor, dumbbells, and a full-length mirror on the wall.","eq,1,treatment_table; ge,2,exercise_mat; ge,2,dumbbell; eq,1,mirror","eq,1,mirror,full-length",,"eq,1,on,mirror,wall",medium,type_diversity,,FALSE
128,"A gym with two treadmills and two exercise bikes along the wall. A weight rack holds dumbbells. A squat rack has five 45-pound weight plates stacked next to it. Exercise balls are in the corner, and a large mirror covers one wall.","eq,2,treadmill; eq,2,exercise_bike; eq,1,weight_rack; ge,2,dumbbell; eq,1,squat_rack; ge,5,weight_plate; ge,2,exercise_ball; eq,1,mirror","eq,1,mirror,large","ge,2,on,0,weight_rack,dumbbell; ge,5,near,0,squat_rack,weight_plate","ge,2,corner,exercise_ball,room; eq,1,on,mirror,wall",hard,type_diversity,,FALSE
129,"A yoga studio with yoga mats on the floor, a mirror on the wall, and meditation cushions in the corner.","ge,2,yoga_mat; eq,1,mirror; ge,2,meditation_cushion",,,"eq,1,on,mirror,wall; ge,2,corner,meditation_cushion,room",easy,type_diversity,,FALSE
130,"A dance studio with a ballet barre along the wall, a large mirror, and a speaker in the corner.","eq,1,ballet_barre; eq,1,mirror; eq,1,speaker","eq,1,mirror,large",,"eq,1,on,mirror,wall; eq,1,corner,speaker,room",easy,type_diversity,,FALSE
131,"A spa treatment room with a massage table, a cabinet with towels, and candles on a round side table.","eq,1,massage_table; eq,1,cabinet; ge,2,towel; eq,1,round_table; ge,2,candle","eq,1,round_table,round","ge,2,on,0,cabinet,towel; ge,2,on,0,round_table,candle","eq,1,against,cabinet,wall",easy,type_diversity,,FALSE
132,"A robotics lab with two workbenches with robotic arms. Tool shelves on the wall hold tools, and a 3D printer sits in the corner.","eq,2,workbench; ge,2,shelf; ge,4,tool; eq,1,3d_printer",,"ge,4,on,0,shelf,tool","ge,2,on,shelf,wall; eq,1,corner,3d_printer,room",medium,type_diversity,,FALSE
133,"A workshop with a wooden workbench, a stool, and a model airplane on the workbench. A tool box contains tools including a drill, hammer, screwdriver, and tape.","eq,1,workbench; eq,1,stool; eq,1,model_airplane; eq,1,tool_box; ge,1,drill; ge,1,hammer; ge,1,screwdriver; ge,1,tape","eq,1,workbench,wooden","eq,1,on,0,workbench,model_airplane; ge,1,within,0,tool_box,drill; ge,1,within,0,tool_box,hammer; ge,1,within,0,tool_box,screwdriver; ge,1,within,0,tool_box,tape","eq,1,against,workbench,wall",medium,type_diversity,,FALSE
134,"A garage with a car, a workbench, tires stacked in the corner, and a ladder against the wall.","eq,1,car; eq,1,workbench; ge,2,tire; eq,1,ladder",,,"ge,2,corner,tire,room",easy,type_diversity,,FALSE
135,"A server room with three server racks, a fire extinguisher in the corner, and a desk with two monitors.","eq,3,server_rack; eq,1,fire_extinguisher; eq,1,desk; eq,2,monitor",,"eq,2,on,0,desk,monitor","eq,1,corner,fire_extinguisher,room",medium,type_diversity,,FALSE
136,"An art gallery with at least five paintings on the walls, a sculpture on a pedestal in the center, and a bench for viewing.","ge,5,painting; eq,1,sculpture; eq,1,pedestal; eq,1,bench",,"eq,1,on,0,pedestal,sculpture","ge,5,on,painting,wall; eq,1,middle,pedestal,room",medium,type_diversity,,FALSE
137,"A commercial kitchen with a large stainless steel prep table, an industrial stove, a commercial refrigerator, and shelves with pots and pans. A utensil crock holds utensils including a spatula, tongs, and whisk. A cutting board with a chef's knife on top sits on the table.","eq,1,table; eq,1,stove; eq,1,refrigerator; ge,1,shelf; ge,2,pot; ge,2,pan; eq,1,utensil_crock; ge,1,spatula; ge,1,tongs; ge,1,whisk; eq,1,cutting_board; ge,1,knife","eq,1,table,large; eq,1,table,stainless_steel; eq,1,stove,industrial; eq,1,refrigerator,commercial; ge,1,knife,chef","ge,2,on,0,shelf,pot; ge,2,on,0,shelf,pan; ge,1,within,0,utensil_crock,spatula; ge,1,within,0,utensil_crock,tongs; ge,1,within,0,utensil_crock,whisk; eq,1,on,0,table,cutting_board; ge,1,on,0,cutting_board,knife","eq,1,against,refrigerator,wall",hard,type_diversity,,FALSE
138,"A bakery with a display case showing pastries, a counter with a cash register, and a bread rack with loaves of bread.","eq,1,display_case; ge,2,pastry; eq,1,counter; eq,1,cash_register; eq,1,bread_rack; ge,2,bread_loaf",,"ge,2,within,0,display_case,pastry; eq,1,on,0,counter,cash_register; ge,2,on,0,bread_rack,bread_loaf","eq,1,against,bread_rack,wall",medium,type_diversity,,FALSE
139,"A nail salon with two manicure tables, each with a chair and a stool, and a shelf with nail polish bottles.","eq,2,manicure_table; eq,2,chair; eq,2,stool; eq,1,shelf; ge,2,nail_polish_bottle",,"ge,2,near,0,manicure_table,chair; ge,2,near,0,manicure_table,stool; ge,2,on,0,shelf,nail_polish_bottle","eq,1,against,shelf,wall",easy,type_diversity,,FALSE
140,"A barber shop with two barber chairs facing mirrors on the wall, and a waiting bench near the entrance.","eq,2,barber_chair; eq,2,mirror; eq,1,bench",,"eq,2,face,0,barber_chair,mirror","eq,2,on,mirror,wall; eq,1,near,bench,door",easy,type_diversity,,FALSE
141,"A tattoo parlor with a tattoo chair, a rolling cart with ink bottles, and framed artwork on the walls.","eq,1,tattoo_chair; eq,1,rolling_cart; ge,2,ink_bottle; ge,1,framed_artwork",,"ge,2,on,0,rolling_cart,ink_bottle","ge,1,on,framed_artwork,wall",easy,type_diversity,,FALSE
142,"A pet grooming salon with a grooming table, a bathtub, and a cage for pets in the corner.","eq,1,grooming_table; eq,1,bathtub; eq,1,cage",,,"eq,1,corner,cage,room",easy,type_diversity,,FALSE
143,"A laundromat with four washing machines along the wall, two dryers, a folding table, and a row of plastic chairs.","eq,4,washing_machine; eq,2,dryer; eq,1,folding_table; ge,2,chair","ge,2,chair,plastic",,"eq,4,against,washing_machine,wall",medium,type_diversity,,FALSE
144,"A nursery with a crib, a rocking chair, a changing table, a baby mobile hanging from the ceiling, and a pile of wooden play blocks on the floor.","eq,1,crib; eq,1,rocking_chair; eq,1,kid_changing_table; eq,1,baby_mobile; ge,3,play_block","ge,3,play_block,wooden",,"eq,1,hang,baby_mobile,ceiling",medium,type_diversity,,FALSE
145,"A daycare room with small tables and chairs, a storage box with toys in the corner, and colorful bins on a shelf.","ge,2,table; ge,2,chair; eq,1,storage_box; ge,2,toy; eq,1,shelf; ge,2,bin","ge,2,table,small; ge,2,chair,small; ge,2,bin,colorful","ge,2,within,0,storage_box,toy; ge,2,on,0,shelf,bin","eq,1,corner,storage_box,room",medium,type_diversity,,FALSE
146,"A wine cellar with wooden shelves along the walls holding at least ten wine bottles. A tasting table with four stools sits in the center, with four wine glasses and a plate with cheese on it. A barrel is in the corner, and an antique chandelier hangs from the ceiling.","ge,2,shelf; ge,10,wine_bottle; eq,1,table; eq,4,stool; eq,4,wine_glass; eq,1,plate; ge,1,cheese; eq,1,barrel; eq,1,chandelier","ge,2,shelf,wooden; eq,1,chandelier,antique","ge,10,on,0,shelf,wine_bottle; ge,4,near,0,table,stool; eq,4,on,0,table,wine_glass; eq,1,on,0,table,plate; ge,1,on,0,plate,cheese","eq,1,middle,table,room; eq,1,corner,barrel,room; eq,1,hang,chandelier,ceiling",hard,type_diversity,,FALSE
147,"A science lab with two lab benches, each with a microscope, a glass beaker, and a test tube stand. A fume hood hangs from the ceiling, and a safety shower is in the corner.","eq,2,lab_bench; eq,2,microscope; eq,2,beaker; eq,2,test_tube_stand; eq,1,fume_hood; eq,1,safety_shower","eq,2,beaker,glass","eq,2,on,0,lab_bench,microscope; eq,2,on,0,lab_bench,beaker; eq,2,on,0,lab_bench,test_tube_stand","eq,1,hang,fume_hood,ceiling; eq,1,corner,safety_shower,room",hard,type_diversity,,FALSE
148,"An Egyptian museum room with a sarcophagus in the center. One display table holds a golden scarab beetle and a canopic jar. Another display table has an ancient scroll, a clay tablet, and a bronze amulet. Hieroglyphic panels are mounted on the walls, and two stone statues flank the entrance.","eq,1,sarcophagus; eq,2,display_table; eq,1,scarab_beetle; eq,1,canopic_jar; eq,1,scroll; eq,1,clay_tablet; eq,1,amulet; ge,2,hieroglyphic_panel; eq,2,statue","eq,1,scarab_beetle,golden; eq,1,scroll,ancient; eq,1,amulet,bronze; eq,2,statue,stone","eq,1,on,0,display_table,scarab_beetle; eq,1,on,0,display_table,canopic_jar; eq,1,on,1,display_table,scroll; eq,1,on,1,display_table,clay_tablet; eq,1,on,1,display_table,amulet","eq,1,middle,sarcophagus,room; ge,2,on,hieroglyphic_panel,wall; eq,2,near,statue,door",hard,type_diversity,,FALSE
149,"An escape room with a locked chest, a bookshelf with books, a clock on the wall, and a mysterious painting.","eq,1,chest; eq,1,bookshelf; ge,2,book; eq,1,clock; eq,1,painting","eq,1,chest,locked; eq,1,painting,mysterious","ge,2,within,0,bookshelf,book","eq,1,on,clock,wall; eq,1,on,painting,wall",easy,type_diversity,,FALSE
150,"A pantry with a single three-level shelf. The first level holds at least 10 cans, the second level holds at least 10 pasta packs, and the third level holds at least 10 potatoes.","eq,1,shelf; ge,10,can; ge,10,pasta_pack; ge,10,potato","eq,1,shelf,three-level","ge,10,on,0,shelf,can; ge,10,on,0,shelf,pasta_pack; ge,10,on,0,shelf,potato",,medium,object_density,,FALSE
151,A kitchen with a table. There is a fruit bowl on the table with a mix of apples and oranges. The bowl contains at least 6 fruits.,"eq,1,table; eq,1,bowl; ge,6,fruit",,"eq,1,on,0,table,bowl; ge,6,within,0,bowl,fruit",,easy,object_density,,FALSE
152,"A kitchen with a single shelf. The shelf holds at least 8 plates, 8 bowls, and 8 cups.","eq,1,shelf; ge,8,plate; ge,8,bowl; ge,8,cup",,"ge,8,on,0,shelf,plate; ge,8,on,0,shelf,bowl; ge,8,on,0,shelf,cup",,medium,object_density,,FALSE
153,A kitchen with a spice rack on the wall. The rack holds at least 10 spice jars.,"eq,1,spice_rack; ge,10,spice_jar",,"ge,10,on,0,spice_rack,spice_jar","eq,1,on,spice_rack,wall",easy,object_density,,FALSE
154,A kitchen with an open refrigerator. The refrigerator contains at least 6 bottles and 6 food containers.,"eq,1,refrigerator; ge,6,bottle; ge,6,food_container",,"ge,6,within,0,refrigerator,bottle; ge,6,within,0,refrigerator,food_container",,easy,object_density,,FALSE
155,"A kitchen. There is a utensil holder on the counter. The holder contains at least 4 forks, 4 knives, and 4 spoons.","eq,1,counter; eq,1,utensil_holder; ge,4,fork; ge,4,knife; ge,4,spoon",,"eq,1,on,0,counter,utensil_holder; ge,4,within,0,utensil_holder,fork; ge,4,within,0,utensil_holder,knife; ge,4,within,0,utensil_holder,spoon",,easy,object_density,,FALSE
156,"A dining room with a table set for 4 people. Each setting has a plate, a glass, a fork, and a knife.","eq,1,table; eq,4,plate; eq,4,glass; eq,4,fork; eq,4,knife",,"eq,4,on,0,table,plate; eq,4,on,0,table,glass; eq,4,on,0,table,fork; eq,4,on,0,table,knife",,easy,object_density,,FALSE
157,"A dining room with a table set for 8 people. Each setting has a plate, a glass, a fork, and a knife.","eq,1,table; eq,8,plate; eq,8,glass; eq,8,fork; eq,8,knife",,"eq,8,on,0,table,plate; eq,8,on,0,table,glass; eq,8,on,0,table,fork; eq,8,on,0,table,knife",,medium,object_density,,FALSE
158,"A dining room with a long table set for 12 people. Each setting has a small plate stacked on a large plate, a glass, a fork, and a knife.","eq,1,table; eq,24,plate; eq,12,glass; eq,12,fork; eq,12,knife","eq,1,table,long","eq,24,on,0,table,plate; eq,12,on,0,table,glass; eq,12,on,0,table,fork; eq,12,on,0,table,knife",,hard,object_density,,FALSE
159,A kitchen with a mug rack on the wall holding at least 8 mugs.,"eq,1,mug_rack; ge,8,mug",,"ge,8,on,0,mug_rack,mug","eq,1,on,mug_rack,wall",easy,object_density,,FALSE
160,"A bedroom with a breakfast tray on the bed. The tray has a plate, a cup, a bowl, and a glass.","eq,1,bed; eq,1,tray; ge,1,plate; ge,1,cup; ge,1,bowl; ge,1,glass",,"eq,1,on,0,bed,tray; eq,1,on,0,tray,plate; eq,1,on,0,tray,cup; eq,1,on,0,tray,bowl; eq,1,on,0,tray,glass",,medium,object_density,,FALSE
161,"A living room with a coffee table. On the table is a tea set with a teapot, 4 teacups on saucers.","eq,1,coffee_table; eq,1,teapot; eq,4,teacup; eq,4,saucer",,"eq,1,on,0,coffee_table,teapot; eq,4,on,0,coffee_table,saucer; eq,4,on,0,saucer,teacup",,medium,object_density,,FALSE
162,A bar with a counter. On the counter are at least 8 glasses and 6 bottles.,"eq,1,counter; ge,8,glass; ge,6,bottle",,"ge,8,on,0,counter,glass; ge,6,on,0,counter,bottle",,easy,object_density,,FALSE
163,A dining room with a wine shelf holding at least 12 wine bottles.,"eq,1,wine_shelf; ge,12,wine_bottle",,"ge,12,on,0,wine_shelf,wine_bottle",,easy,object_density,,FALSE
164,A pottery store with shelves along the walls. The shelves hold at least 30 cups and 30 bowls. There is a table with a large painted bowl.,"ge,2,shelf; ge,30,cup; ge,31,bowl; eq,1,table",,"ge,30,on,0,shelf,cup; ge,30,on,0,shelf,bowl; eq,1,on,0,table,bowl","ge,2,against,shelf,wall",hard,object_density,,FALSE
165,"A bathroom with a counter. On the counter are at least 4 bottles, 2 tubes, and a soap dispenser.","eq,1,counter; ge,4,bottle; ge,2,tube; eq,1,soap_dispenser",,"ge,4,on,0,counter,bottle; ge,2,on,0,counter,tube; eq,1,on,0,counter,soap_dispenser",,easy,object_density,,FALSE
166,"A bathroom with a medicine cabinet. The cabinet contains at least 6 medicine bottles, 4 pill boxes, 2 tubes, and a pair of scissors.","eq,1,cabinet; ge,6,medicine_bottle; ge,4,pill_box; ge,2,tube; eq,1,scissors",,"ge,6,within,0,cabinet,medicine_bottle; ge,4,within,0,cabinet,pill_box; ge,2,within,0,cabinet,tube; eq,1,within,0,cabinet,scissors",,medium,object_density,,FALSE
167,A kitchen with a three-level shelf. The top level holds at least 10 jars. The other two levels hold stacks of plates with at least 20 plates in total.,"eq,1,shelf; ge,10,jar; ge,20,plate","eq,1,shelf,three-level","ge,10,on,0,shelf,jar; ge,20,on,0,shelf,plate",,hard,object_density,,FALSE
168,A closet with a shoe rack holding exactly 5 pairs of shoes.,"eq,1,shoe_rack; eq,10,shoe",,"eq,10,on,0,shoe_rack,shoe",,easy,object_density,,FALSE
169,"A bedroom with a vanity table. On the table are at least 6 makeup bottles, at least 2 brushes, and a small mirror. There is also a nightstand with a stack of 8 books.","eq,1,vanity_table; ge,6,bottle; ge,2,brush; eq,1,mirror; eq,1,nightstand; eq,8,book","eq,1,mirror,small","ge,6,on,0,vanity_table,bottle; ge,2,on,0,vanity_table,brush; eq,1,on,0,vanity_table,mirror; eq,8,on,0,nightstand,book",,medium,object_density,,FALSE
170,"An office with a desk. On the desk is a pen holder with at least 5 pens and a laptop. There is a shelf with stacks of books, at least 15 books in total.","eq,1,desk; eq,1,pen_holder; ge,5,pen; eq,1,laptop; eq,1,shelf; ge,15,book",,"eq,1,on,0,desk,pen_holder; ge,5,within,0,pen_holder,pen; eq,1,on,0,desk,laptop; ge,15,on,0,shelf,book",,medium,object_density,,FALSE
171,"A kitchen with a sink. The sink contains a mess of dishes with at least 5 plates, 3 glasses, and 5 bowls.","eq,1,sink; ge,5,plate; ge,3,glass; ge,5,bowl",,"ge,5,within,0,sink,plate; ge,3,within,0,sink,glass; ge,5,within,0,sink,bowl",,medium,object_density,,FALSE
172,A playroom with two bins. One bin contains 2 teddy bears. The other bin contains at least 5 wooden blocks. There is a carpet with a toy car and a toy train. There is a pile of lego blocks on the carpet containing at least 5 blocks.,"eq,2,bin; eq,2,teddy_bear; ge,5,wooden_block; eq,1,carpet; ge,5,lego_block; eq,1,toy_car; eq,1,toy_train",,"eq,2,within,0,bin,teddy_bear; ge,5,within,1,bin,wooden_block; ge,5,on,0,carpet,lego_block; eq,1,on,0,carpet,toy_car; eq,1,on,0,carpet,toy_train",,hard,object_density,,FALSE
173,"A restaurant with exactly 4 tables and 8 chairs. Each table is set for 2 people with a plate, a glass, a fork, and a knife.","eq,4,table; eq,8,chair; eq,8,plate; eq,8,glass; eq,8,fork; eq,8,knife",,"eq,8,on,0,table,plate; eq,8,on,0,table,glass; eq,8,on,0,table,fork; eq,8,on,0,table,knife",,hard,object_density,,FALSE
174,A bookstore with at least 50 books.,"ge,50,book",,,,medium,object_density,,FALSE
175,"A Star Wars themed teen bedroom. The room features a bed with Star Wars bedding showing characters and starships, and a Star Wars themed desk lamp with Darth Vader or Death Star designs.","eq,1,bed; eq,1,desk_lamp","eq,1,bed,star_wars_themed; eq,1,desk_lamp,star_wars_themed",,,easy,themed_scenes,,FALSE
176,A playroom inspired by The Incredibles movie. The room features an Incredibles themed rug with the superhero family logo and two Incredibles themed bean bags for seating.,"eq,1,rug; eq,2,bean_bag","eq,1,rug,incredibles_themed; eq,2,bean_bag,incredibles_themed",,"eq,1,middle,rug,room",easy,themed_scenes,,FALSE
177,"An Art Deco styled living room. The room features an Art Deco style sofa with geometric patterns, an Art Deco style coffee table positioned in front of the sofa, and an Art Deco style floor lamp with a geometric shade.","eq,1,sofa; eq,1,coffee_table; eq,1,floor_lamp","eq,1,sofa,art_deco_style; eq,1,coffee_table,art_deco_style; eq,1,floor_lamp,art_deco_style","eq,1,front,0,sofa,coffee_table",,easy,themed_scenes,,FALSE
178,A Minecraft themed gaming room. The room features a Minecraft themed chair with Creeper designs and a Minecraft themed poster on the wall.,"eq,1,chair; eq,1,poster","eq,1,chair,minecraft_themed; eq,1,poster,minecraft_themed",,"eq,1,on,poster,wall",easy,themed_scenes,,FALSE
179,"A Picasso-inspired dining room. The room features a dining table with four chairs surrounding it. A Picasso-style cubist painting hangs on the wall, and a tablecloth with abstract geometric patterns covers the table.","eq,1,dining_table; eq,4,chair; eq,1,painting; eq,1,tablecloth","eq,1,painting,picasso_style; eq,1,painting,cubist; eq,1,tablecloth,abstract_geometric","eq,4,surround,0,dining_table,chair; eq,1,on,0,dining_table,tablecloth","eq,1,on,painting,wall",medium,themed_scenes,,FALSE
180,"A steampunk styled home office. The room features a steampunk desk with brass fittings and exposed gears, a steampunk style desk lamp with copper pipes and vintage bulb, a steampunk themed wall clock with visible clockwork mechanisms, and a steampunk styled office chair with leather and metal accents.","eq,1,desk; eq,1,desk_lamp; eq,1,wall_clock; eq,1,office_chair","eq,1,desk,steampunk_style; eq,1,desk_lamp,steampunk_style; eq,1,wall_clock,steampunk_style; eq,1,office_chair,steampunk_style","eq,1,on,0,desk,desk_lamp; eq,1,front,0,desk,office_chair","eq,1,on,wall_clock,wall",medium,themed_scenes,,FALSE
181,"A Harry Potter themed home library. The room features a bookshelf styled like a Hogwarts library, a Harry Potter themed reading chair with a Harry Potter themed floor lamp next to it, and a Hogwarts trunk for storage.","eq,1,bookshelf; eq,1,reading_chair; eq,1,floor_lamp; eq,1,trunk","eq,1,bookshelf,harry_potter_themed; eq,1,reading_chair,harry_potter_themed; eq,1,floor_lamp,harry_potter_themed; eq,1,trunk,hogwarts_style","eq,1,next,0,reading_chair,floor_lamp","eq,1,against,bookshelf,wall",medium,themed_scenes,,FALSE
182,"A Pop Art styled artist studio. The room features a Pop Art style desk with bold colors, a Pop Art style stool positioned in front of the desk, a large Pop Art style painting with comic-style imagery on the wall, and a Pop Art themed floor lamp.","eq,1,desk; eq,1,stool; eq,1,painting; eq,1,floor_lamp","eq,1,desk,pop_art_style; eq,1,stool,pop_art_style; eq,1,painting,pop_art_style; eq,1,floor_lamp,pop_art_style","eq,1,front,0,desk,stool","eq,1,on,painting,wall",medium,themed_scenes,,FALSE
183,"A Jurassic Park themed kids bedroom. The room features a bed with Jurassic Park dinosaur bedding, a Jurassic Park themed rug on the floor, and a Jurassic Park poster on the wall. Two dinosaur stuffed animals sit on the bed, and a dinosaur themed desk lamp rests on the nightstand.","eq,1,bed; eq,1,rug; eq,1,poster; eq,2,stuffed_animal; eq,1,desk_lamp; eq,1,nightstand","eq,1,bed,jurassic_park_themed; eq,1,rug,jurassic_park_themed; eq,1,poster,jurassic_park_themed; eq,2,stuffed_animal,dinosaur_themed; eq,1,desk_lamp,dinosaur_themed","eq,2,on,0,bed,stuffed_animal; eq,1,on,0,nightstand,desk_lamp; eq,1,next,0,bed,nightstand","eq,1,on,poster,wall",hard,themed_scenes,,FALSE
184,"A Frozen themed nursery. The room features a Frozen themed crib with Elsa and Anna bedding, a Frozen themed rocking chair, a Frozen themed rug with snowflake patterns on the floor, a Frozen themed lamp on a side table, a Frozen poster on the wall, and a Frozen themed toy box for storage.","eq,1,crib; eq,1,rocking_chair; eq,1,rug; eq,1,lamp; eq,1,side_table; eq,1,poster; eq,1,toy_box","eq,1,crib,frozen_themed; eq,1,rocking_chair,frozen_themed; eq,1,rug,frozen_themed; eq,1,lamp,frozen_themed; eq,1,poster,frozen_themed; eq,1,toy_box,frozen_themed","eq,1,on,0,side_table,lamp","eq,1,on,poster,wall",hard,themed_scenes,,FALSE
